comparison,project,llm,generated_relative_path,original_relative_path,generated_complexity,original_complexity,delta_complexity,generated_complexity_per_100_ncloc,original_complexity_per_100_ncloc,delta_complexity_per_100_ncloc
original_vs_assisted,Air-Quality-Health-Prediction,chatgpt,Air-Quality-Health-Prediction/GENAIGREENML_assisted_chatgpt.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,25,2,23,24.7525,7.1429,17.6096
original_vs_assisted,Air-Quality-Health-Prediction,claude,Air-Quality-Health-Prediction/GENAIGREENML_assisted_claude.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,10,2,8,15.8730,7.1429,8.7302
original_vs_assisted,Air-Quality-Health-Prediction,codex,Air-Quality-Health-Prediction/GENAIGREENML_assisted_codex.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,23,2,21,26.1364,7.1429,18.9935
original_vs_assisted,Air-Quality-Health-Prediction,gemini,Air-Quality-Health-Prediction/GENAIGREENML_assisted_gemini.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,5,2,3,9.4340,7.1429,2.2911
original_vs_autonomous,Air-Quality-Health-Prediction,chatgpt,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_chatgpt.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,90,2,88,33.9623,7.1429,26.8194
original_vs_autonomous,Air-Quality-Health-Prediction,codex,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_codex.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,55,2,53,28.9474,7.1429,21.8045
original_vs_autonomous,Air-Quality-Health-Prediction,gemini,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_gemini.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,15,2,13,21.7391,7.1429,14.5963
original_vs_assisted,Algorithms_KnnClasifier,chatgpt,Algorithms_KnnClasifier/GENAIGREENML_assisted_chatgpt.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,14,11,3,25.9259,19.6429,6.2831
original_vs_assisted,Algorithms_KnnClasifier,claude,Algorithms_KnnClasifier/GENAIGREENML_assisted_claude.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,6,11,-5,12.7660,19.6429,-6.8769
original_vs_assisted,Algorithms_KnnClasifier,codex,Algorithms_KnnClasifier/GENAIGREENML_assisted_codex.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,32,11,21,30.7692,19.6429,11.1264
original_vs_assisted,Algorithms_KnnClasifier,gemini,Algorithms_KnnClasifier/GENAIGREENML_assisted_gemini.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,8,11,-3,21.6216,19.6429,1.9788
original_vs_autonomous,Algorithms_KnnClasifier,chatgpt,Algorithms_KnnClasifier/GENAIGREENML_autonomous_chatgpt.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,66,11,55,30.9859,19.6429,11.3431
original_vs_autonomous,Algorithms_KnnClasifier,claude,Algorithms_KnnClasifier/GENAIGREENML_autonomous_claude.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,9,11,-2,13.6364,19.6429,-6.0065
original_vs_autonomous,Algorithms_KnnClasifier,codex,Algorithms_KnnClasifier/GENAIGREENML_autonomous_codex.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,47,11,36,29.5597,19.6429,9.9169
