project,relative_path,file,mode,llm,complexity,ncloc,cognitive_complexity,complexity_per_100_ncloc
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,25,101,19,24.7525
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,10,63,7,15.8730
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,23,88,15,26.1364
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,5,53,6,9.4340
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,90,265,142,33.9623
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,55,190,77,28.9474
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,15,69,18,21.7391
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,2,28,1,7.1429
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,14,54,10,25.9259
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,6,47,8,12.7660
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,32,104,41,30.7692
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,8,37,10,21.6216
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,66,213,89,30.9859
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_autonomous_claude.py,GENAIGREENML_autonomous_claude.py,autonomous,claude,9,66,12,13.6364
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,47,159,71,29.5597
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,10,71,14,14.0845
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,11,56,8,19.6429
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,8,41,7,19.5122
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,3,35,2,8.5714
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,7,42,7,16.6667
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,3,26,4,11.5385
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,78,273,118,28.5714
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,74,217,122,34.1014
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,13,80,26,16.2500
