group_type,metric,group,count,mean,median,min,max,std_dev,p25,p75
mode,complexity,assisted,198,13.8737,10,1,110,15.7863,4,18
mode,complexity,autonomous,165,39.9273,45,6,118,24.6355,15,59
mode,complexity,original,50,5.7800,2,0,57,9.4357,1,6.5000
mode,complexity_per_100_ncloc,assisted,198,18.4632,17.6471,2.8571,48.0349,9.5171,10.5263,25
mode,complexity_per_100_ncloc,autonomous,165,25.1168,26.2295,11.5385,41.4035,6.3795,20.5479,29.8137
mode,complexity_per_100_ncloc,original,50,8.1614,5.8824,0,32.2581,7.4931,3.9828,10.9507
llm_assisted,complexity,chatgpt,50,16.3200,16,5,69,9.4274,10.2500,19
llm_assisted,complexity,claude,49,5.1224,4,1,60,8.5529,2,6
llm_assisted,complexity,codex,50,27.4600,21,7,110,21.4145,16,29.7500
llm_assisted,complexity,gemini,49,6.2653,4,2,47,7.4156,3,6
llm_autonomous,complexity,chatgpt,47,60.6809,59,35,90,11.3331,54,68.5000
llm_autonomous,complexity,claude,22,10.8182,10,6,18,3.4453,8.2500,12
llm_autonomous,complexity,codex,47,57.7872,54,37,118,14.7839,46.5000,67.5000
llm_autonomous,complexity,gemini,49,15.9592,15,9,28,5.1960,12,19
llm_generated,complexity,chatgpt,97,37.8144,31,5,90,24.5668,16,59
llm_generated,complexity,claude,71,6.8873,5,1,60,7.7948,2,10
llm_generated,complexity,codex,97,42.1546,44,7,118,23.8936,21,55
llm_generated,complexity,gemini,98,11.1122,10,2,47,8.0192,4,16
llm_assisted,complexity_per_100_ncloc,chatgpt,50,21.5791,20.7792,11.3636,32.3077,5.0765,17.6471,25
llm_assisted,complexity_per_100_ncloc,claude,49,10.7126,9.2593,2.8571,39.7351,6.9971,5.8824,13.0435
llm_assisted,complexity_per_100_ncloc,codex,50,28.0116,27.3619,13.7500,48.0349,7.2243,22.6383,33.7010
llm_assisted,complexity_per_100_ncloc,gemini,49,13.2912,11.5385,3.0303,32.6389,7.0338,8.3333,15.7895
llm_autonomous,complexity_per_100_ncloc,chatgpt,47,28.3621,28.3898,21.5859,33.9623,3.5757,26.3092,30.9185
llm_autonomous,complexity_per_100_ncloc,claude,22,17.4639,16.3693,11.5385,27.2727,4.3874,13.8934,20.2778
llm_autonomous,complexity_per_100_ncloc,codex,47,30.1933,29.5597,24.1935,41.4035,3.7376,27.0593,32.7288
llm_autonomous,complexity_per_100_ncloc,gemini,49,20.5708,20.5479,14.0845,34.2105,4.6373,17.3333,23.4568
llm_generated,complexity_per_100_ncloc,chatgpt,97,24.8657,25.3968,11.3636,33.9623,5.5580,20.7792,29.1005
llm_generated,complexity_per_100_ncloc,claude,71,12.8045,12.5000,2.8571,39.7351,7.0167,6.6741,16.1332
llm_generated,complexity_per_100_ncloc,codex,97,29.0687,28.8235,13.7500,48.0349,5.8765,26.0870,33.3333
llm_generated,complexity_per_100_ncloc,gemini,98,16.9310,16.2331,3.0303,34.2105,6.9648,11.6538,22.5765
