comparison,llm,n,t,p_ttest,p_ttest_holm,mean_diff_bytes,median_diff_bytes,cohen_d,ci_low_bytes,ci_high_bytes
Original vs Assisted,chatgpt,50,9.559960,0.000000,0.000000,1981.000000,1961.000000,1.351982,1564.578948,2397.421052
Original vs Assisted,claude,49,2.045973,0.046259,0.046259,271.489796,541.000000,0.292282,4.689206,538.290386
Original vs Assisted,codex,50,10.447914,0.000000,0.000000,2253.420000,1999.000000,1.477558,1819.992122,2686.847878
Original vs Assisted,gemini,49,4.162881,0.000130,0.000259,532.571429,746.000000,0.594697,275.344114,789.798743
Original vs Autonomous,chatgpt,47,24.931965,0.000000,0.000000,8599.319149,8817.000000,3.636701,7905.048482,9293.589816
Original vs Autonomous,claude,22,8.720095,0.000000,0.000000,1570.181818,1774.000000,1.859131,1195.716670,1944.646967
Original vs Autonomous,codex,47,21.001686,0.000000,0.000000,5430.106383,5746.000000,3.063411,4909.660673,5950.552093
Original vs Autonomous,gemini,49,12.683329,0.000000,0.000000,2792.775510,3172.000000,1.811904,2350.048582,3235.502439
Assisted vs Autonomous,chatgpt,47,-15.030354,0.000000,0.000000,-6541.659574,-6929.000000,-2.192402,-7417.731951,-5665.587198
Assisted vs Autonomous,claude,22,-10.748554,0.000000,0.000000,-1134.545455,-1143.500000,-2.291599,-1354.055577,-915.035332
Assisted vs Autonomous,codex,47,-12.066556,0.000000,0.000000,-3346.872340,-3510.000000,-1.760088,-3905.184487,-2788.560193
Assisted vs Autonomous,gemini,48,-14.089443,0.000000,0.000000,-2228.562500,-2317.000000,-2.033636,-2546.764544,-1910.360456
