project,total_bytes,total_kb,total_mb
FakeNewsPrediction,162762145,158947.407,155.222
Network_Intrusion_Detection_System,26374508,25756.355,25.153
breastcancer_classification,23249405,22704.497,22.172
Cuisine-Predictor,15517623,15153.929,14.799
MaliciousSoftwareClassification,13000539,12695.839,12.398
Supervised-Data-mining-Customer-satisfaction-prediction-,9521237,9298.083,9.080
spam-ham-detection,8957806,8747.857,8.543
IMDB-Sentiment-Analysis,7803395,7620.503,7.442
Annotated_Colab_Notebook,5987633,5847.298,5.710
dyslexia-randomforest,3618516,3533.707,3.451
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,3005199,2934.765,2.866
K-Nearest-Neighbor-Algorithm,1846866,1803.580,1.761
Air-Quality-Health-Prediction,1749098,1708.104,1.668
HWStudentGradPredictor,1392819,1360.175,1.328
JunctionalClassifier,951740,929.434,0.908
JunctionalClassifier2,951344,929.047,0.907
JunctionalClassifier3,951182,928.889,0.907
ML_CSV_Classification,597434,583.432,0.570
CT_Project,489629,478.153,0.467
Spam-Email-Classifier,482183,470.882,0.460
Social-Network-Ads,444463,434.046,0.424
MachineLearn-WineClassifier,385498,376.463,0.368
student-math-ml-analysis,343370,335.322,0.327
Na-ve-bayes-algorithm-to-classify-the-fetal-health-,298415,291.421,0.285
Svm-GridsearchCV,240252,234.621,0.229
Email-spam-detector,237451,231.886,0.226
Simple-Naive-Bayes-on-Iris-Dataset,213561,208.556,0.204
Iris-ML-Lab,163199,159.374,0.156
cancer_prediction,135374,132.201,0.129
Decision-Trees,132751,129.640,0.127
BREAST-CANCER-PREDICTION-SYSTEM,128454,125.443,0.123
Rock-or-Mine-prediction,89597,87.497,0.085
Voting-Data-Classification,50030,48.857,0.048
SparkMLClassification,45897,44.821,0.044
Algorithms_KnnClasifier,43720,42.695,0.042
Diabetes-Classification-with-SVM,27889,27.235,0.027
diabetes_predictive_analysis,27227,26.589,0.026
Predicting-heart-diseases-,20645,20.161,0.020
Deep-Learning-Classification,20384,19.906,0.019
Multi-Turn-Intent-Classification,18908,18.465,0.018
Iris-Classification-ML-problem,14766,14.420,0.014
cars-classification,11264,11.000,0.011
animals-classification,8535,8.335,0.008
Classification-with-xgboost-on-binary.csv-data,8520,8.320,0.008
Iris-Flower-Classification-Codealpha,8315,8.120,0.008
CodeAlpha_IrisClassification,8283,8.089,0.008
Iris-Flower-Classification-Codealpha2,8266,8.072,0.008
Iris-Flower-Classification-Codealpha3,8193,8.001,0.008
DecisionTreeClassifier,2067,2.019,0.002
SCT_ML_3,1930,1.885,0.002
